,0
0,1
1,557
2,558
3,559
4,562
5,561
6,560
7,1155
8,477
9,1154
10,1285
11,413
12,415
13,414
14,416
15,417
16,445
17,315
18,412
19,410
20,411
21,409
22,408
23,407
24,406
25,403
26,404
27,405
28,1026
29,1225
30,91
31,992
32,3
33,1025
34,1019
35,958
36,957
37,2
38,1263
39,1058
40,4
41,993
42,92
43,378
44,983
45,873
46,1098
47,870
48,978
49,967
50,1097
51,965
52,779
53,284
54,773
55,772
56,771
57,770
58,769
59,768
60,539
61,321
62,767
63,369
64,265
65,766
66,765
67,647
68,694
69,649
70,648
71,642
72,641
73,640
74,762
75,704
76,760
77,761
78,583
79,639
80,638
81,637
82,636
83,635
84,634
85,736
86,154
87,758
88,759
89,674
90,727
91,757
92,756
93,755
94,168
95,169
96,829
97,861
98,1152
99,1029
100,749
101,938
102,853
103,123
104,1055
105,1125
106,652
107,199
108,939
109,854
110,124
111,1007
112,1006
113,1199
114,695
115,696
116,698
117,697
118,699
119,170
120,701
121,700
122,702
123,703
124,676
125,684
126,155
127,728
128,891
129,675
130,685
131,686
132,687
133,688
134,689
135,690
136,691
137,763
138,584
139,764
140,370
141,952
142,936
143,266
144,541
145,323
146,919
147,267
148,937
149,371
150,953
151,968
152,974
153,888
154,1008
155,1009
156,1010
157,1011
158,286
159,1012
160,980
161,872
162,1013
163,985
164,380
165,875
166,871
167,1140
168,874
169,984
170,379
171,93
172,994
173,5
174,1059
175,1021
176,1141
177,1142
178,1143
179,1144
180,1092
181,429
182,476
183,1145
184,991
185,487
186,442
187,1146
188,466
189,1147
190,1148
191,1259
192,1131
193,1130
194,1129
195,1258
196,421
197,316
198,1135
199,1133
200,1132
201,1134
202,418
203,1136
204,1015
205,1014
206,6
207,995
208,94
209,1230
210,1018
211,1017
212,1016
213,577
214,1156
215,1157
216,1184
217,1176
218,447
219,576
220,1183
221,1283
222,1149
223,1248
224,1247
225,1085
226,970
227,1084
228,401
229,420
230,430
231,486
232,488
233,489
234,491
235,490
236,492
237,494
238,493
239,733
240,1165
241,964
242,23
243,78
244,77
245,76
246,75
247,1187
248,19
249,20
250,21
251,22
252,318
253,317
254,517
255,446
256,314
257,305
258,306
259,309
260,310
261,311
262,313
263,312
264,18
265,17
266,16
267,15
268,14
269,13
270,12
271,11
272,10
273,9
274,8
275,7
276,302
277,301
278,300
279,299
280,298
281,297
282,296
283,295
284,294
285,293
286,292
287,291
288,290
289,289
290,80
291,288
292,287
293,748
294,747
295,746
296,745
297,744
298,712
299,742
300,374
301,223
302,236
303,644
304,195
305,196
306,191
307,190
308,151
309,165
310,187
311,186
312,189
313,188
314,185
315,184
316,182
317,183
318,143
319,142
320,141
321,140
322,139
323,137
324,138
325,136
326,135
327,134
328,133
329,132
330,131
331,130
332,129
333,128
334,127
335,125
336,126
337,204
338,205
339,172
340,171
341,166
342,173
343,174
344,175
345,152
346,176
347,177
348,178
349,211
350,210
351,209
352,208
353,207
354,206
355,120
356,231
357,1233
358,1214
359,1192
360,232
361,233
362,1254
363,654
364,1054
365,505
366,931
367,485
368,181
369,659
370,246
371,449
372,1210
373,860
374,1032
375,239
376,226
377,612
378,613
379,520
380,251
381,610
382,611
383,609
384,608
385,1196
386,1195
387,229
388,200
389,653
390,230
391,358
392,426
393,929
394,480
395,683
396,400
397,499
398,673
399,951
400,521
401,1209
402,852
403,252
404,851
405,850
406,1208
407,1053
408,1001
409,734
410,949
411,1061
412,592
413,1194
414,591
415,570
416,434
417,62
418,471
419,590
420,508
421,589
422,588
423,587
424,586
425,1193
426,1000
427,507
428,1027
429,812
430,470
431,847
432,848
433,513
434,846
435,437
436,38
437,845
438,512
439,844
440,843
441,97
442,842
443,841
444,790
445,840
446,795
447,839
448,838
449,463
450,837
451,836
452,835
453,834
454,833
455,601
456,526
457,566
458,454
459,832
460,798
461,831
462,33
463,118
464,468
465,495
466,1264
467,803
468,731
469,1204
470,804
471,1237
472,119
473,34
474,934
