,0
0,1
1,557
2,558
3,559
4,560
5,561
6,562
7,732
8,961
9,960
10,959
11,958
12,957
13,2
14,1263
15,1225
16,1025
17,3
18,992
19,91
20,1236
21,1262
22,1026
23,402
24,427
25,1090
26,1151
27,1150
28,1265
29,1266
30,443
31,444
32,409
33,408
34,407
35,406
36,405
37,404
38,403
39,1224
40,990
41,428
42,1102
43,1101
44,1100
45,1099
46,1020
47,1058
48,4
49,993
50,92
51,378
52,983
53,873
54,1098
55,870
56,978
57,967
58,1097
59,778
60,283
61,1096
62,1095
63,1094
64,972
65,1046
66,886
67,538
68,320
69,917
70,264
71,935
72,1219
73,219
74,218
75,217
76,214
77,213
78,212
79,178
80,177
81,176
82,152
83,175
84,1197
85,211
86,210
87,209
88,208
89,206
90,207
91,205
92,204
93,203
94,202
95,201
96,356
97,355
98,354
99,353
100,352
101,351
102,350
103,349
104,348
105,347
106,346
107,250
108,345
109,344
110,343
111,342
112,341
113,340
114,339
115,338
116,337
117,336
118,335
119,24
120,334
121,333
122,332
123,37
124,715
125,716
126,1229
127,1000
128,25
129,594
130,1028
131,569
132,433
133,470
134,812
135,1027
136,507
137,848
138,847
139,513
140,846
141,437
142,38
143,845
144,512
145,844
146,843
147,97
148,842
149,841
150,790
151,795
152,840
153,839
154,838
155,463
156,837
157,836
158,835
159,834
160,833
161,601
162,526
163,566
164,454
165,832
166,798
167,831
168,33
169,118
170,468
171,495
172,1264
173,804
174,731
175,1204
176,1237
177,119
178,34
179,934
180,800
181,1062
182,456
183,528
184,603
185,1063
186,1238
187,1064
188,602
189,527
190,455
191,1112
192,799
193,933
194,464
195,1109
196,1108
197,922
198,1107
199,1106
200,1115
201,465
202,923
203,1110
204,1120
205,796
206,791
207,1049
208,1256
209,586
210,587
211,588
212,589
213,508
214,590
215,471
216,62
217,434
218,570
219,591
220,592
221,1194
222,1061
223,949
224,734
225,1001
226,1053
227,1208
228,850
229,851
230,252
231,852
232,521
233,951
234,673
235,499
236,400
237,683
238,480
239,929
240,426
241,358
242,230
243,200
244,653
245,1007
246,1006
247,124
248,939
249,854
250,1199
251,695
252,696
253,697
254,698
255,699
256,700
257,701
258,702
259,703
260,676
261,684
262,155
263,685
264,686
265,687
266,688
267,689
268,690
269,691
270,585
271,692
272,693
273,968
274,371
275,953
276,937
277,267
278,919
279,323
280,541
281,888
282,1008
283,1009
284,1010
285,1011
286,286
287,1012
288,980
289,872
290,1013
291,875
292,985
293,380
294,94
295,995
296,6
297,1014
298,1015
299,1016
300,1017
301,1230
302,1239
303,1018
304,273
305,274
306,275
307,276
308,277
309,278
310,279
311,1267
312,82
313,956
314,776
315,281
316,955
317,954
318,546
319,547
320,280
321,548
322,549
323,81
324,550
325,551
326,552
327,553
328,554
329,555
330,556
331,327
332,383
333,1217
334,85
335,86
336,87
337,88
338,89
339,90
340,1188
341,1223
342,1211
343,1268
344,1221
345,977
346,966
347,1159
348,777
349,282
350,1160
351,1163
352,1126
353,971
354,1045
355,885
356,319
357,916
358,263
359,969
360,216
361,1216
362,144
363,145
364,146
365,719
366,121
367,718
368,717
369,651
370,197
371,227
372,240
373,226
374,239
375,1032
376,860
377,448
378,928
379,478
380,682
381,398
382,497
383,672
384,950
385,519
386,249
387,899
388,866
389,849
390,898
391,248
392,518
393,397
394,1214
395,1192
396,506
397,396
398,1205
399,1222
400,247
401,70
402,69
403,68
404,67
405,1186
406,574
407,999
408,713
409,1190
410,109
411,55
412,108
413,107
414,106
415,105
416,104
417,103
418,102
419,101
420,100
421,99
422,98
423,95
424,903
425,787
426,793
427,1111
428,912
429,927
430,1213
431,1253
432,920
433,461
434,1113
435,1170
436,1104
437,1068
438,1168
439,1173
440,529
441,530
442,1065
443,1105
444,1171
445,1114
446,462
447,921
448,913
449,794
450,788
451,904
452,96
453,905
454,1048
455,789
456,424
457,39
458,40
459,41
460,44
461,45
462,46
463,47
464,48
465,49
466,50
467,51
468,52
469,53
470,593
