,0
0,1
1,557
2,558
3,559
4,560
5,561
6,562
7,732
8,961
9,960
10,959
11,958
12,957
13,2
14,1225
15,1263
16,1025
17,3
18,992
19,91
20,90
21,89
22,88
23,87
24,86
25,85
26,84
27,83
28,1267
29,956
30,82
31,776
32,281
33,955
34,954
35,275
36,274
37,273
38,272
39,271
40,270
41,269
42,268
43,1212
44,916
45,319
46,263
47,969
48,1219
49,219
50,218
51,217
52,214
53,213
54,212
55,178
56,177
57,176
58,152
59,175
60,174
61,173
62,172
63,171
64,166
65,726
66,725
67,724
68,723
69,722
70,721
71,720
72,719
73,121
74,718
75,717
76,651
77,197
78,227
79,240
80,356
81,355
82,354
83,353
84,352
85,351
86,350
87,349
88,348
89,347
90,346
91,250
92,345
93,344
94,343
95,342
96,341
97,340
98,339
99,338
100,337
101,336
102,335
103,714
104,715
105,716
106,1229
107,25
108,594
109,1028
110,569
111,433
112,470
113,812
114,1027
115,507
116,848
117,847
118,513
119,846
120,437
121,38
122,845
123,512
124,844
125,843
126,97
127,842
128,841
129,790
130,795
131,840
132,839
133,838
134,463
135,837
136,836
137,835
138,834
139,833
140,601
141,526
142,566
143,454
144,832
145,798
146,831
147,33
148,118
149,468
150,495
151,799
152,933
153,1112
154,455
155,527
156,602
157,1107
158,1108
159,1109
160,464
161,922
162,923
163,465
164,1115
165,1106
166,1238
167,1064
168,1063
169,603
170,528
171,456
172,1062
173,800
174,934
175,34
176,119
177,1237
178,1204
179,731
180,804
181,803
182,1264
183,1110
184,1120
185,796
186,791
187,1049
188,1256
189,587
190,586
191,1193
192,588
193,589
194,508
195,590
196,471
197,62
198,434
199,570
200,591
201,592
202,1194
203,1061
204,949
205,734
206,1001
207,1053
208,1208
209,850
210,851
211,252
212,852
213,1209
214,521
215,951
216,673
217,499
218,400
219,683
220,480
221,929
222,426
223,358
224,230
225,200
226,653
227,1006
228,1007
229,124
230,854
231,939
232,1199
233,695
234,696
235,697
236,698
237,699
238,700
239,701
240,702
241,703
242,676
243,684
244,155
245,685
246,686
247,687
248,688
249,689
250,690
251,691
252,585
253,692
254,693
255,968
256,371
257,953
258,937
259,267
260,919
261,323
262,541
263,888
264,1008
265,974
266,1009
267,1010
268,1011
269,286
270,1012
271,980
272,872
273,1013
274,875
275,985
276,380
277,94
278,995
279,6
280,1014
281,1015
282,1016
283,1017
284,1018
285,1239
286,1230
287,1142
288,1141
289,1021
290,1059
291,5
292,994
293,93
294,379
295,984
296,874
297,1140
298,871
299,979
300,1139
301,285
302,1138
303,1137
304,1127
305,973
306,1047
307,887
308,540
309,322
310,918
311,266
312,936
313,952
314,370
315,764
316,1198
317,642
318,648
319,649
320,641
321,640
322,583
323,639
324,638
325,637
326,636
327,635
328,634
329,633
330,153
331,632
332,631
333,630
334,629
335,628
336,167
337,627
338,626
339,625
340,624
341,623
342,622
343,621
344,620
345,122
346,619
347,618
348,617
349,198
350,228
351,241
352,357
353,425
354,616
355,479
356,615
357,614
358,399
359,498
360,613
361,612
362,520
363,251
364,611
365,610
366,609
367,608
368,1196
369,1000
370,1195
371,229
372,199
373,652
374,1125
375,1055
376,123
377,853
378,938
379,749
380,1029
381,1152
382,861
383,829
384,169
385,989
386,976
387,728
388,891
389,675
390,674
391,757
392,727
393,756
394,755
395,168
396,754
397,753
398,752
399,751
400,750
401,170
402,1200
403,761
404,762
405,704
406,584
407,763
408,760
409,759
410,758
411,736
412,154
413,1197
414,211
415,210
416,209
417,208
418,207
419,206
420,205
421,204
422,203
423,202
424,201
425,239
426,1032
427,860
428,448
429,928
430,478
431,682
432,398
433,497
434,672
435,950
436,519
437,249
438,899
439,866
440,849
441,898
442,248
443,518
444,1205
445,1222
446,396
447,506
448,1192
449,1214
450,1210
451,1233
452,231
453,232
454,233
455,1254
456,654
457,125
458,126
459,127
460,128
461,129
462,130
463,131
464,132
465,133
466,134
467,135
468,136
469,137
470,138
471,139
472,140
473,141
474,142
475,143
476,144
