,0
0,1
1,1156
2,1183
3,373
4,371
5,421
6,882
7,509
8,557
9,564
10,860
11,1254
12,1052
13,343
14,470
15,337
16,758
17,426
18,463
19,250
20,1070
21,1192
22,254
23,389
24,86
25,120
26,166
27,1047
28,321
29,380
30,1059
31,203
32,624
33,549
34,547
35,527
36,465
37,1057
38,544
39,1217
40,446
41,593
42,406
43,1091
44,1265
45,1248
46,473
47,1121
48,1278
49,819
50,95
51,903
52,1190
53,607
54,897
55,1258
56,1037
57,539
58,633
59,538
60,771
61,1162
62,81
63,383
64,327
65,1090
66,402
67,1164
68,119
69,928
70,109
71,472
72,878
73,1218
74,612
75,1196
76,609
77,399
78,1000
79,735
80,1279
81,1203
82,1170
83,461
84,33
85,454
86,114
87,1277
88,660
89,601
90,834
91,647
92,73
93,252
94,1160
95,1236
96,642
97,648
98,702
99,1021
100,766
101,46
102,13
103,447
104,665
105,1049
106,1120
107,796
108,1063
109,200
110,171
111,479
112,229
113,751
114,992
115,90
116,956
117,69
118,257
119,1201
120,284
121,732
122,983
123,1098
124,779
125,339
126,1027
127,625
128,357
129,611
130,750
131,676
132,700
133,938
134,123
135,644
136,1094
137,66
138,237
139,220
140,892
141,313
142,307
143,303
144,1175
145,1285
146,413
147,1154
148,408
149,409
150,23
151,1262
152,302
153,493
154,48
155,50
156,827
157,826
158,57
159,214
160,335
161,911
162,785
163,670
164,671
165,811
166,845
167,804
168,456
169,791
170,841
171,1082
172,78
173,151
174,995
175,617
176,836
177,724
178,972
179,916
180,319
181,905
182,245
183,941
184,658
185,1225
186,320
187,378
188,283
189,1095
190,1298
191,304
192,277
193,276
194,650
195,895
196,1051
197,244
198,749
199,755
200,532
201,158
202,189
203,947
204,1046
205,82
206,185
207,1017
208,1014
209,6
210,1126
211,965
212,1140
213,411
214,1223
215,423
216,802
217,514
218,441
219,98
220,103
221,843
222,362
223,365
224,368
225,739
226,555
227,554
228,1153
229,299
230,11
231,9
232,279
233,1267
234,83
235,84
236,1242
237,1241
238,381
239,1243
240,1144
241,1013
242,985
243,443
244,444
245,1266
246,439
247,830
248,1080
249,1251
250,513
251,1214
252,355
253,672
254,651
255,939
256,854
257,430
258,570
259,1032
260,620
261,630
262,1030
263,366
264,492
265,1229
266,210
267,497
268,541
269,673
270,683
271,929
272,629
273,89
274,273
275,709
276,79
277,561
278,726
279,205
280,248
281,848
282,345
283,260
284,997
285,1291
286,906
287,1290
288,1292
289,1038
290,377
291,1212
292,738
293,148
294,981
295,325
296,1078
297,969
298,369
299,639
300,638
301,228
302,1271
303,1050
304,962
305,1128
306,745
307,988
308,1056
309,984
310,1018
311,1230
312,1163
313,1211
314,88
315,87
316,85
317,1135
318,1134
319,417
320,305
321,1283
322,22
323,1077
324,535
325,291
326,657
327,268
328,1257
329,955
330,281
331,715
332,590
333,124
334,790
335,1064
336,731
337,1204
338,403
339,404
340,427
341,1102
342,748
343,1185
344,183
345,182
346,1199
347,838
348,225
349,1155
350,477
351,777
352,163
353,125
354,940
355,1004
356,814
357,367
358,331
359,821
360,880
361,1117
362,1270
363,515
364,59
365,424
366,440
367,602
368,1123
369,661
370,1260
371,765
372,188
373,1054
374,643
375,890
376,729
377,901
378,820
379,1034
380,8
381,986
382,1244
383,1161
384,585
385,759
386,537
387,560
388,384
389,45
390,44
391,816
392,1245
393,1060
394,865
395,884
396,987
397,361
398,193
399,336
400,520
401,341
402,340
403,253
404,783
405,1304
406,1303
407,186
408,1264
409,1253
410,217
411,286
412,104
413,682
414,807
415,159
416,1147
417,269
418,714
419,681
420,580
421,582
422,110
423,920
424,789
425,1065
426,1193
427,591
428,7
429,219
430,684
431,632
432,201
433,356
434,226
435,452
436,792
437,161
438,326
439,503
440,1296
441,1295
442,1182
443,156
444,922
445,546
446,954
447,784
448,1191
449,1124
450,1010
451,980
452,213
453,837
454,194
455,147
456,450
457,899
458,610
459,251
460,521
461,1067
462,467
463,1281
464,1040
465,1073
466,208
467,736
468,767
469,167
470,852
471,717
472,622
473,689
474,475
475,932
476,787
477,788
478,999
479,508
480,831
481,64
482,1043
483,833
484,512
485,333
486,1118
487,523
488,1280
489,531
490,828
491,810
492,1003
493,63
494,893
495,680
496,656
497,991
498,1127
499,800
500,934
501,664
502,666
503,667
504,1109
505,768
506,770
507,139
508,261
509,262
510,931
511,256
512,720
513,1207
514,394
515,640
516,26
517,198
518,146
519,160
520,165
521,677
522,971
523,16
524,407
525,885
526,1169
527,496
528,31
529,249
530,953
531,628
532,754
533,270
534,149
535,1284
536,157
537,134
