,0
0,1
1,557
2,558
3,559
4,560
5,561
6,562
7,961
8,732
9,960
10,959
11,1263
12,1225
13,958
14,957
15,2
16,91
17,992
18,3
19,1025
20,1019
21,1236
22,1262
23,1026
24,402
25,563
26,564
27,565
28,1251
29,1245
30,1287
31,1179
32,1177
33,1286
34,1082
35,1244
36,1083
37,1248
38,1247
39,970
40,1084
41,1246
42,972
43,1094
44,886
45,538
46,320
47,917
48,935
49,952
50,370
51,936
52,266
53,918
54,322
55,540
56,888
57,974
58,1009
59,1010
60,1011
61,286
62,980
63,872
64,1013
65,875
66,985
67,380
68,1012
69,1137
70,1138
71,285
72,1139
73,979
74,871
75,1140
76,874
77,984
78,379
79,5
80,994
81,93
82,94
83,995
84,6
85,1014
86,1015
87,1016
88,1239
89,1018
90,1017
91,1230
92,429
93,991
94,476
95,1145
96,487
97,442
98,1146
99,466
100,1147
101,1148
102,1259
103,1130
104,1129
105,1258
106,1131
107,316
108,421
109,1132
110,1133
111,1134
112,1135
113,418
114,1136
115,1243
116,1078
117,1242
118,1077
119,1241
120,381
121,876
122,325
123,1250
124,868
125,79
126,869
127,1076
128,775
129,328
130,1075
131,975
132,1087
133,1249
134,710
135,883
136,1088
137,1274
138,774
139,1240
140,867
141,981
142,962
143,1023
144,1161
145,1024
146,963
147,982
148,865
149,884
150,711
151,1158
152,1128
153,1162
154,515
155,826
156,827
157,810
158,828
159,511
160,1069
161,390
162,388
163,389
164,387
165,671
166,516
167,670
168,669
169,441
170,668
171,331
172,821
173,820
174,819
175,818
176,817
177,662
178,816
179,782
180,1167
181,1067
182,1169
183,1103
184,604
185,1252
186,1191
187,1166
188,116
189,115
190,797
191,932
192,32
193,117
194,31
195,1189
196,496
197,467
198,114
199,431
200,567
201,457
202,801
203,802
204,531
205,458
206,35
207,469
208,1207
209,730
210,1206
211,1279
212,113
213,1218
214,1276
215,735
216,1203
217,1275
218,824
219,825
220,674
221,757
222,727
223,756
224,755
225,168
226,754
227,630
228,629
229,628
230,167
231,627
232,626
233,624
234,625
235,622
236,623
237,122
238,620
239,621
240,751
241,752
242,753
243,750
244,976
245,989
246,169
247,829
248,861
249,1152
250,749
251,1029
252,938
253,853
254,123
255,1125
256,199
257,229
258,1195
259,1208
260,850
261,851
262,252
263,852
264,521
265,951
266,673
267,499
268,400
269,683
270,480
271,929
272,426
273,358
274,230
275,200
276,653
277,1006
278,1007
279,124
280,854
281,939
282,696
283,1199
284,697
285,698
286,695
287,703
288,702
289,701
290,700
291,170
292,699
293,690
294,689
295,688
296,686
297,687
298,691
299,1200
300,685
301,155
302,684
303,676
304,207
305,205
306,204
307,120
308,226
309,1233
310,231
311,232
312,233
313,1254
314,654
315,659
316,181
317,1054
318,246
319,485
320,931
321,396
322,1192
323,1214
324,449
325,1210
326,518
327,248
328,898
329,849
330,866
331,899
332,249
333,950
334,519
335,497
336,398
337,682
338,478
339,928
340,448
341,860
342,239
343,1032
344,352
345,351
346,350
347,349
348,348
349,347
350,250
351,345
352,344
353,343
354,342
355,341
356,339
357,340
358,672
359,346
360,357
361,425
362,616
363,479
364,615
365,614
366,399
367,498
368,520
369,611
370,610
371,609
372,608
373,251
374,613
375,612
376,105
377,104
378,103
379,106
380,107
381,108
382,109
383,55
384,1190
385,713
386,574
387,999
388,575
389,593
390,24
391,652
392,1055
393,354
394,356
395,355
396,353
397,253
398,254
399,255
400,256
401,257
402,505
403,501
404,679
405,259
406,1180
407,500
408,678
409,258
410,1293
411,522
412,906
413,1291
414,1002
415,1288
416,1271
417,605
418,1051
419,28
420,597
421,64
422,27
423,596
424,63
425,571
426,1228
427,1234
428,110
429,435
430,1202
431,1227
432,1226
433,1034
434,1231
435,881
436,438
437,914
438,1232
439,1269
440,1270
441,808
442,1164
443,509
444,472
445,997
446,572
447,896
448,1003
449,71
450,907
451,523
452,805
453,1296
454,1182
455,1181
456,1295
457,1294
458,242
459,1040
460,655
461,1302
462,1301
